names,ohio,statute_id,statute_name,estimated_amount,penalty_type,year,penalty_id,penalty_amt_min,penalty_amt_max,penalty_amt_fixed,has_min,has_max,has_fixed,has_numeric_amount,amount_type
Cassandra Fuentes,ohio,oh_67,ohio rev. code § 2907.27,actual costs,venereal disease treatment cost,1994,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_67,ohio rev. code § 2907.27,actual costs,venereal disease treatment cost,1996,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_67,ohio rev. code § 2907.27,actual costs,venereal disease treatment cost,2000,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_67,ohio rev. code § 2907.27,actual costs,venereal disease treatment cost,2004,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_67,ohio rev. code § 2907.27,actual costs,venereal disease treatment cost,2009,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_67,ohio rev. code § 2907.27,actual costs,venereal disease treatment cost,2012,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_67,ohio rev. code § 2907.27,actual costs,venereal disease treatment cost,2014,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_67,ohio rev. code § 2907.27,actual costs,venereal disease treatment cost,2022,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_68,ohio rev. code § 2913.82,any towing or storage fees,motor vehicle theft: fees,1987,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_69,ohio rev. code § 2919.22(f)(1)(a),actual costs,child endangerment service,1994,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_69,ohio rev. code § 2919.22(f)(1)(a),actual costs,child endangerment service,1996,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_69,ohio rev. code § 2919.22(f)(1)(a),actual costs,child endangerment service,1996,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_69,ohio rev. code § 2919.22(f)(1)(a),actual costs,child endangerment service,1996,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_69,ohio rev. code § 2919.22(f)(1)(a),actual costs,child endangerment service,1997,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_69,ohio rev. code § 2919.22(f)(1)(a),actual costs,child endangerment service,1997,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_69,ohio rev. code § 2919.22(f)(1)(a),actual costs,child endangerment service,1997,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_69,ohio rev. code § 2919.22(f)(1)(a),actual costs,child endangerment service,1999,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_69,ohio rev. code § 2919.22(f)(1)(a),actual costs,child endangerment service,2000,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_69,ohio rev. code § 2919.22(f)(1)(a),actual costs,child endangerment service,2001,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_69,ohio rev. code § 2919.22(f)(1)(a),actual costs,child endangerment service,2004,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_69,ohio rev. code § 2919.22(f)(1)(a),actual costs,child endangerment service,2004,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_69,ohio rev. code § 2919.22(f)(1)(a),actual costs,child endangerment service,2004,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_69,ohio rev. code § 2919.22(f)(1)(a),actual costs,child endangerment service,2006,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_69,ohio rev. code § 2919.22(f)(1)(a),actual costs,child endangerment service,2006,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_69,ohio rev. code § 2919.22(f)(1)(a),actual costs,child endangerment service,2009,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_69,ohio rev. code § 2919.22(f)(1)(a),actual costs,child endangerment service,2011,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_69,ohio rev. code § 2919.22(f)(1)(a),actual costs,child endangerment service,2018,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_69,ohio rev. code § 2919.22(f)(1)(a),actual costs,child endangerment service,2022,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_70,ohio rev. code § 2919.271(e),actual costs,examination costs: violation,1996,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_70,ohio rev. code § 2919.271(e),actual costs,examination costs: violation,1997,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_70,ohio rev. code § 2919.271(e),actual costs,examination costs: violation,1997,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_70,ohio rev. code § 2919.271(e),actual costs,examination costs: violation,1998,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_70,ohio rev. code § 2919.271(e),actual costs,examination costs: violation,2000,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_70,ohio rev. code § 2919.271(e),actual costs,examination costs: violation,2001,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_70,ohio rev. code § 2919.271(e),actual costs,examination costs: violation,2009,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_70,ohio rev. code § 2919.271(e),actual costs,examination costs: violation,2011,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_70,ohio rev. code § 2919.271(e),actual costs,examination costs: violation,2013,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_70,ohio rev. code § 2919.271(e),actual costs,examination costs: violation,2013,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_71,ohio rev. code § 2921.38(e)(2),actual costs,medical testing: harassment,1997,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_71,ohio rev. code § 2921.38(e)(2),actual costs,medical testing: harassment,2007,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_71,ohio rev. code § 2921.38(e)(2),actual costs,medical testing: harassment,2009,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_71,ohio rev. code § 2921.38(e)(2),actual costs,medical testing: harassment,2013,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_72,ohio rev. code § 2925.42,"not more than twice the gross profits or other proceeds derived from a felony drug abuse offense, or for a juvenile anact that, if committed by an adult, would be a felony drug abuse offense",crime proceeds: fine disposition,1992,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_72,ohio rev. code § 2925.42,"not more than twice the gross profits or other proceeds derived from a felony drug abuse offense, or for a juvenile anact that, if committed by an adult, would be a felony drug abuse offense",crime proceeds: fine disposition,1996,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_72,ohio rev. code § 2925.42,"not more than twice the gross profits or other proceeds derived from a felony drug abuse offense, or for a juvenile anact that, if committed by an adult, would be a felony drug abuse offense",crime proceeds: fine disposition,2002,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_72,ohio rev. code § 2925.42,"not more than twice the gross profits or other proceeds derived from a felony drug abuse offense, or for a juvenile anact that, if committed by an adult, would be a felony drug abuse offense",crime proceeds: fine disposition,2007,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_73,ohio rev. code § 2929.18(a)(1),economic damage,financial sanctions -- restitution,1996,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_73,ohio rev. code § 2929.18(a)(1),economic damage,financial sanctions -- restitution,1996,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_73,ohio rev. code § 2929.18(a)(1),economic damage,financial sanctions -- restitution,1996,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_73,ohio rev. code § 2929.18(a)(1),economic damage,financial sanctions -- restitution,1996,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_73,ohio rev. code § 2929.18(a)(1),economic damage,financial sanctions -- restitution,1998,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_73,ohio rev. code § 2929.18(a)(1),economic damage,financial sanctions -- restitution,2000,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_73,ohio rev. code § 2929.18(a)(1),economic damage,financial sanctions -- restitution,2000,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_73,ohio rev. code § 2929.18(a)(1),economic damage,financial sanctions -- restitution,2001,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_73,ohio rev. code § 2929.18(a)(1),economic damage,financial sanctions -- restitution,2002,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_73,ohio rev. code § 2929.18(a)(1),economic damage,financial sanctions -- restitution,2004,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_73,ohio rev. code § 2929.18(a)(1),economic damage,financial sanctions -- restitution,2004,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_73,ohio rev. code § 2929.18(a)(1),economic damage,financial sanctions -- restitution,2004,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_73,ohio rev. code § 2929.18(a)(1),economic damage,financial sanctions -- restitution,2007,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_73,ohio rev. code § 2929.18(a)(1),economic damage,financial sanctions -- restitution,2007,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_73,ohio rev. code § 2929.18(a)(1),economic damage,financial sanctions -- restitution,2008,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_73,ohio rev. code § 2929.18(a)(1),economic damage,financial sanctions -- restitution,2009,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_73,ohio rev. code § 2929.18(a)(1),economic damage,financial sanctions -- restitution,2011,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_73,ohio rev. code § 2929.18(a)(1),economic damage,financial sanctions -- restitution,2013,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_73,ohio rev. code § 2929.18(a)(1),economic damage,financial sanctions -- restitution,2015,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_73,ohio rev. code § 2929.18(a)(1),economic damage,financial sanctions -- restitution,2016,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_73,ohio rev. code § 2929.18(a)(1),economic damage,financial sanctions -- restitution,2016,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_73,ohio rev. code § 2929.18(a)(1),economic damage,financial sanctions -- restitution,2018,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_73,ohio rev. code § 2929.18(a)(1),economic damage,financial sanctions -- restitution,2020,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_73,ohio rev. code § 2929.18(a)(1),economic damage,financial sanctions -- restitution,2022,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_73,ohio rev. code § 2929.18(a)(1),economic damage,financial sanctions -- restitution,2022,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_73,ohio rev. code § 2929.18(a)(1),economic damage,financial sanctions -- restitution,2023,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_74,ohio rev. code § 2929.18(a)(1),up to 5% of restitution,sanctions: restitution surcharge,1996,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_74,ohio rev. code § 2929.18(a)(1),up to 5% of restitution,sanctions: restitution surcharge,1996,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_74,ohio rev. code § 2929.18(a)(1),up to 5% of restitution,sanctions: restitution surcharge,1996,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_74,ohio rev. code § 2929.18(a)(1),up to 5% of restitution,sanctions: restitution surcharge,1996,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_74,ohio rev. code § 2929.18(a)(1),up to 5% of restitution,sanctions: restitution surcharge,1998,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_74,ohio rev. code § 2929.18(a)(1),up to 5% of restitution,sanctions: restitution surcharge,2000,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_74,ohio rev. code § 2929.18(a)(1),up to 5% of restitution,sanctions: restitution surcharge,2000,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_74,ohio rev. code § 2929.18(a)(1),up to 5% of restitution,sanctions: restitution surcharge,2001,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_74,ohio rev. code § 2929.18(a)(1),up to 5% of restitution,sanctions: restitution surcharge,2002,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_74,ohio rev. code § 2929.18(a)(1),up to 5% of restitution,sanctions: restitution surcharge,2004,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_74,ohio rev. code § 2929.18(a)(1),up to 5% of restitution,sanctions: restitution surcharge,2004,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_74,ohio rev. code § 2929.18(a)(1),up to 5% of restitution,sanctions: restitution surcharge,2004,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_74,ohio rev. code § 2929.18(a)(1),up to 5% of restitution,sanctions: restitution surcharge,2007,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_74,ohio rev. code § 2929.18(a)(1),up to 5% of restitution,sanctions: restitution surcharge,2007,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_74,ohio rev. code § 2929.18(a)(1),up to 5% of restitution,sanctions: restitution surcharge,2008,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_74,ohio rev. code § 2929.18(a)(1),up to 5% of restitution,sanctions: restitution surcharge,2009,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_74,ohio rev. code § 2929.18(a)(1),up to 5% of restitution,sanctions: restitution surcharge,2011,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_74,ohio rev. code § 2929.18(a)(1),up to 5% of restitution,sanctions: restitution surcharge,2013,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_74,ohio rev. code § 2929.18(a)(1),up to 5% of restitution,sanctions: restitution surcharge,2015,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_74,ohio rev. code § 2929.18(a)(1),up to 5% of restitution,sanctions: restitution surcharge,2016,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_74,ohio rev. code § 2929.18(a)(1),up to 5% of restitution,sanctions: restitution surcharge,2018,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_74,ohio rev. code § 2929.18(a)(1),up to 5% of restitution,sanctions: restitution surcharge,2020,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_74,ohio rev. code § 2929.18(a)(1),up to 5% of restitution,sanctions: restitution surcharge,2022,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_74,ohio rev. code § 2929.18(a)(1),up to 5% of restitution,sanctions: restitution surcharge,2022,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_74,ohio rev. code § 2929.18(a)(1),up to 5% of restitution,sanctions: restitution surcharge,2023,,,,,False,False,False,False,none
Cassandra Fuentes,ohio,oh_75,ohio rev. code § 2929.18(a)(3)(a),$0 - $20000,sanctions: first-degree felony,1996,,,20000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_75,ohio rev. code § 2929.18(a)(3)(a),$0 - $20000,sanctions: first-degree felony,1996,,,20000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_75,ohio rev. code § 2929.18(a)(3)(a),$0 - $20000,sanctions: first-degree felony,1996,,,20000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_75,ohio rev. code § 2929.18(a)(3)(a),$0 - $20000,sanctions: first-degree felony,1996,,,20000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_75,ohio rev. code § 2929.18(a)(3)(a),$0 - $20000,sanctions: first-degree felony,1998,,,20000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_75,ohio rev. code § 2929.18(a)(3)(a),$0 - $20000,sanctions: first-degree felony,2000,,,20000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_75,ohio rev. code § 2929.18(a)(3)(a),$0 - $20000,sanctions: first-degree felony,2000,,,20000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_75,ohio rev. code § 2929.18(a)(3)(a),$0 - $20000,sanctions: first-degree felony,2001,,,20000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_75,ohio rev. code § 2929.18(a)(3)(a),$0 - $20000,sanctions: first-degree felony,2002,,,20000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_75,ohio rev. code § 2929.18(a)(3)(a),$0 - $20000,sanctions: first-degree felony,2004,,,20000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_75,ohio rev. code § 2929.18(a)(3)(a),$0 - $20000,sanctions: first-degree felony,2004,,,20000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_75,ohio rev. code § 2929.18(a)(3)(a),$0 - $20000,sanctions: first-degree felony,2004,,,20000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_75,ohio rev. code § 2929.18(a)(3)(a),$0 - $20000,sanctions: first-degree felony,2007,,,20000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_75,ohio rev. code § 2929.18(a)(3)(a),$0 - $20000,sanctions: first-degree felony,2007,,,20000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_75,ohio rev. code § 2929.18(a)(3)(a),$0 - $20000,sanctions: first-degree felony,2008,,,20000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_75,ohio rev. code § 2929.18(a)(3)(a),$0 - $20000,sanctions: first-degree felony,2009,,,20000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_75,ohio rev. code § 2929.18(a)(3)(a),$0 - $20000,sanctions: first-degree felony,2011,,,20000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_75,ohio rev. code § 2929.18(a)(3)(a),$0 - $20000,sanctions: first-degree felony,2013,,,20000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_75,ohio rev. code § 2929.18(a)(3)(a),$0 - $20000,sanctions: first-degree felony,2015,,,20000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_75,ohio rev. code § 2929.18(a)(3)(a),$0 - $20000,sanctions: first-degree felony,2016,,,20000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_75,ohio rev. code § 2929.18(a)(3)(a),$0 - $20000,sanctions: first-degree felony,2016,,,20000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_75,ohio rev. code § 2929.18(a)(3)(a),$0 - $20000,sanctions: first-degree felony,2018,,,20000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_75,ohio rev. code § 2929.18(a)(3)(a),$0 - $20000,sanctions: first-degree felony,2020,,,20000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_75,ohio rev. code § 2929.18(a)(3)(a),$0 - $20000,sanctions: first-degree felony,2022,,,20000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_75,ohio rev. code § 2929.18(a)(3)(a),$0 - $20000,sanctions: first-degree felony,2022,,,20000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_75,ohio rev. code § 2929.18(a)(3)(a),$0 - $20000,sanctions: first-degree felony,2023,,,20000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_76,ohio rev. code § 2929.18(a)(3)(b),$0 - $15000,sanctions: second-degree felony,1996,,,15000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_76,ohio rev. code § 2929.18(a)(3)(b),$0 - $15000,sanctions: second-degree felony,1996,,,15000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_76,ohio rev. code § 2929.18(a)(3)(b),$0 - $15000,sanctions: second-degree felony,1996,,,15000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_76,ohio rev. code § 2929.18(a)(3)(b),$0 - $15000,sanctions: second-degree felony,1996,,,15000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_76,ohio rev. code § 2929.18(a)(3)(b),$0 - $15000,sanctions: second-degree felony,1998,,,15000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_76,ohio rev. code § 2929.18(a)(3)(b),$0 - $15000,sanctions: second-degree felony,2000,,,15000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_76,ohio rev. code § 2929.18(a)(3)(b),$0 - $15000,sanctions: second-degree felony,2000,,,15000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_76,ohio rev. code § 2929.18(a)(3)(b),$0 - $15000,sanctions: second-degree felony,2001,,,15000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_76,ohio rev. code § 2929.18(a)(3)(b),$0 - $15000,sanctions: second-degree felony,2002,,,15000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_76,ohio rev. code § 2929.18(a)(3)(b),$0 - $15000,sanctions: second-degree felony,2004,,,15000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_76,ohio rev. code § 2929.18(a)(3)(b),$0 - $15000,sanctions: second-degree felony,2004,,,15000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_76,ohio rev. code § 2929.18(a)(3)(b),$0 - $15000,sanctions: second-degree felony,2004,,,15000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_76,ohio rev. code § 2929.18(a)(3)(b),$0 - $15000,sanctions: second-degree felony,2007,,,15000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_76,ohio rev. code § 2929.18(a)(3)(b),$0 - $15000,sanctions: second-degree felony,2007,,,15000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_76,ohio rev. code § 2929.18(a)(3)(b),$0 - $15000,sanctions: second-degree felony,2008,,,15000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_76,ohio rev. code § 2929.18(a)(3)(b),$0 - $15000,sanctions: second-degree felony,2009,,,15000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_76,ohio rev. code § 2929.18(a)(3)(b),$0 - $15000,sanctions: second-degree felony,2011,,,15000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_76,ohio rev. code § 2929.18(a)(3)(b),$0 - $15000,sanctions: second-degree felony,2013,,,15000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_76,ohio rev. code § 2929.18(a)(3)(b),$0 - $15000,sanctions: second-degree felony,2015,,,15000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_76,ohio rev. code § 2929.18(a)(3)(b),$0 - $15000,sanctions: second-degree felony,2016,,,15000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_76,ohio rev. code § 2929.18(a)(3)(b),$0 - $15000,sanctions: second-degree felony,2016,,,15000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_76,ohio rev. code § 2929.18(a)(3)(b),$0 - $15000,sanctions: second-degree felony,2018,,,15000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_76,ohio rev. code § 2929.18(a)(3)(b),$0 - $15000,sanctions: second-degree felony,2020,,,15000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_76,ohio rev. code § 2929.18(a)(3)(b),$0 - $15000,sanctions: second-degree felony,2022,,,15000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_76,ohio rev. code § 2929.18(a)(3)(b),$0 - $15000,sanctions: second-degree felony,2022,,,15000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_76,ohio rev. code § 2929.18(a)(3)(b),$0 - $15000,sanctions: second-degree felony,2023,,,15000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_77,ohio rev. code § 2929.18(a)(3)(c),$0 - $10000,sanctions: third-degree felony,1996,,,10000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_77,ohio rev. code § 2929.18(a)(3)(c),$0 - $10000,sanctions: third-degree felony,1996,,,10000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_77,ohio rev. code § 2929.18(a)(3)(c),$0 - $10000,sanctions: third-degree felony,1996,,,10000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_77,ohio rev. code § 2929.18(a)(3)(c),$0 - $10000,sanctions: third-degree felony,1996,,,10000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_77,ohio rev. code § 2929.18(a)(3)(c),$0 - $10000,sanctions: third-degree felony,1998,,,10000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_77,ohio rev. code § 2929.18(a)(3)(c),$0 - $10000,sanctions: third-degree felony,2000,,,10000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_77,ohio rev. code § 2929.18(a)(3)(c),$0 - $10000,sanctions: third-degree felony,2000,,,10000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_77,ohio rev. code § 2929.18(a)(3)(c),$0 - $10000,sanctions: third-degree felony,2001,,,10000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_77,ohio rev. code § 2929.18(a)(3)(c),$0 - $10000,sanctions: third-degree felony,2002,,,10000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_77,ohio rev. code § 2929.18(a)(3)(c),$0 - $10000,sanctions: third-degree felony,2004,,,10000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_77,ohio rev. code § 2929.18(a)(3)(c),$0 - $10000,sanctions: third-degree felony,2004,,,10000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_77,ohio rev. code § 2929.18(a)(3)(c),$0 - $10000,sanctions: third-degree felony,2004,,,10000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_77,ohio rev. code § 2929.18(a)(3)(c),$0 - $10000,sanctions: third-degree felony,2007,,,10000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_77,ohio rev. code § 2929.18(a)(3)(c),$0 - $10000,sanctions: third-degree felony,2007,,,10000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_77,ohio rev. code § 2929.18(a)(3)(c),$0 - $10000,sanctions: third-degree felony,2008,,,10000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_77,ohio rev. code § 2929.18(a)(3)(c),$0 - $10000,sanctions: third-degree felony,2009,,,10000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_77,ohio rev. code § 2929.18(a)(3)(c),$0 - $10000,sanctions: third-degree felony,2011,,,10000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_77,ohio rev. code § 2929.18(a)(3)(c),$0 - $10000,sanctions: third-degree felony,2013,,,10000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_77,ohio rev. code § 2929.18(a)(3)(c),$0 - $10000,sanctions: third-degree felony,2015,,,10000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_77,ohio rev. code § 2929.18(a)(3)(c),$0 - $10000,sanctions: third-degree felony,2016,,,10000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_77,ohio rev. code § 2929.18(a)(3)(c),$0 - $10000,sanctions: third-degree felony,2016,,,10000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_77,ohio rev. code § 2929.18(a)(3)(c),$0 - $10000,sanctions: third-degree felony,2018,,,10000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_77,ohio rev. code § 2929.18(a)(3)(c),$0 - $10000,sanctions: third-degree felony,2020,,,10000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_77,ohio rev. code § 2929.18(a)(3)(c),$0 - $10000,sanctions: third-degree felony,2022,,,10000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_77,ohio rev. code § 2929.18(a)(3)(c),$0 - $10000,sanctions: third-degree felony,2022,,,10000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_77,ohio rev. code § 2929.18(a)(3)(c),$0 - $10000,sanctions: third-degree felony,2023,,,10000.0,,False,True,False,True,range
Cassandra Fuentes,ohio,oh_78,ohio rev. code § 2929.18(a)(3)(d),$0 - $5000,sanctions: fourth-degree felony,1996,,,5000.0,,False,True,False,True,range
